0xff52ee74|この大空に、翼をひろげて中文测试
0xb07cfc18|クリック待ち
0xa4b9ef25|注意喚起文01.PNG
0x104f2839|自行车のロードレースは過酷なスポーツとして知られる。%K%P
0xd37cecfd|中でも{山登り:ヒルクライム}は地獄だ。%K%P
0xd31edcab|全身の筋肉を{軋:きし}ませながら、休むことなく{漕:こ}ぎ続け、急{勾配:こうばい}の山道を登っていく。%K%P
0x0ac93ec6|そんな時いつも思うのは、%K%P
0x94edf4cf|「もうやってられるか！\n　このレースで終わりにしよう」%K%P
0x855372cf|毎回同じことを考えるのに、結局また次のレースに出場する。%K%P
0x6380a262|苦しい練習に耐え、ヒルクライムの途中で足をつくこともない。%K%P
0x7d61b84f|それはどうしてか？%K%P
0x99f03a0a|山を登り切った先に、ご褒美が待っているからだ。%K%P
0x050c600b|風を切り、猛スピードで急斜面を駆け下りていく感覚は、他に喩えようもない。%K%P
0x4d63dafe|最高にハイになれる瞬間。%K%P
0xbdd912fb|そうして気が付くと、全て忘れている。%K%P
0x5017d577|レースに勝つか負けるか、そんなこと問題じゃない。%K%P
0x999ec1c1|ただ楽しいから、俺は自転車を漕ぎつづけてきた。%K%P
0x72b575c1|そのはずだった……%K%P
0x9b8769cb|まださしたる人生経験もないあの頃の俺には、想像さえできないことだった。%K%P
0xd6aa842a|急に、なんの前触れもなく“奪われる”ことがあるのだと。%K%P
0x8d483bc1|“閉ざされる”でも、“失う”でもいい。%K%P
0xec8255e4|でも、あの時味わった気分を直感的に表すなら“奪われる”が一番ピタッとくる。%K%P
0x21f24786|――これで一つ賢くなったぞ。生きるってのは楽しいことばかりじゃないんだ！%K%P
0x9a10fa9f|得られたのは人生の教訓。%K%P
0x6b4e807f|失ったものは、全て。%K%P
0xd5f533b5|そんな風に腐っていた俺は、さらに想像してみるべきだった。%K%P
0xf68ab120|唐突に“奪われる”のならば、突然“与えられる”ことだってあるのだと。%K%P
0xee3a1388|風が吹いた。%K%P
0x35984fbc|穏やかな、けれど強い風。%K%P
0xa05c2474|出逢い、と呼ぶには唐突で脈絡もない。%K%P
0xeee698d5|それがなんの始まりなのか――%K%P
0x5f8b4865|いまの俺たちには、まだ知りようもなかった。%K%P
