0xbb45418f|“突如其来，没有任何征兆地便‘被夺走了’什么”——%K%P
0x250223f4|「……为什么会在这里？」%K%P
0x9ed89f43|撑过艰苦的练习，爬坡时也没停下踩着踏板的脚。%K%P
0xc1afc731|——这样就吃一堑长一智了。一个人的一生里可不是只有好事的！%K%P
0x6f35225e|公路自行车竞赛是出了名的严酷的运动。%K%P
0xff82f292|手机在口袋里震动着，是短信的来信提示。%K%P
0xe9da0be3|其中的“{爬坡:hill climb}”简直宛如地狱。%K%P
0x87b153c6|「就是……」%K%P
0x2006b68a|明明每次都这么想着，结果还是会参加下一场比赛。%K%P
0x8c7c0753|「欸 ，那个，等等！？」%K%P
0x447adb35|「就算说是新舍监，\n　他不是男孩子吗！！」%K%P
0x6405b518|「那么你是，\n　回到故乡了呢……」%K%P
0xa7c40ac9|在那种时候总是会想：%K%P
0x9fcdd323|「诶？　没，还没」%K%P
0x25f4feb3|压榨着全身的肌肉的同时，毫不休息地踩着踏板，攀登着大坡度的山路。%K%P
0xe6d79043|「就是我，突然不小心，\n　出乎意料地哭了的事情！！」%K%P
0x9f10b509|但是——%K%P
0xdefa4d3c|它无机质的轮廓或许是为了追求工作效率吧，但在不知其原理的人眼中，这便是一个看上去很奇怪的东西。%K%P
0xac52ad76|「不用，没事」%K%P
0x80866526|「不也很好嘛——？」%K%P
0x48d3096b|「已经撑不下去了！\n　让这成为最后一场比赛吧。」%K%P
0xec8c20ed|为什么？%K%P
0x62602efd|「嗯，注意安全」%K%P
0x619020ea|当回过神来之后，已经忘记了一切。%K%P
0x54ec5da6|因为在登上山顶之后，那里有奖励在等着我。%K%P
0xb00a48cb|「修理啊。\n　爆胎的话就动不了了吧？」%K%P
0x6e245ba2|「不久后就会出来了吧」%K%P
0x9f2f2c9f|「！！！？？！！？？？！！！？？」%K%P
0xeb1a5fb8|「它是哈特。\n　……已经知道了吧」%K%P
0x96e4a16f|如果说“与谁邂逅”，未免太过唐突，毫无条理。%K%P
0x70c0dedc|风驰电掣，以超高的速度冲下陡坡的感觉，实在是无法形容。%K%P
0xf7c181d9|我有些震惊地，目送着这样的景象。%K%P
0x51ea220d|飒飒，用自然的动作撩起头发。%K%P
0x577a023f|我和她都因想到了那种状况，身体不禁僵硬了起来。%K%P
0x16989b25|那是最令人激动的瞬间。%K%P
0x18b9c3b5|「怎么了？」%K%P
0x29c84c5a|这么说的话，妈妈好像也说过有这里很多空房间。因为这里又破旧，离学校也有些远，可能没什么人气。%K%P
0x5f10e8d8|「是あんちゃん发来的……」%K%P
0x890a9460|忘记了爬坡的痛苦，全身肌肉的酸痛，以及每一天的严酷练习。%K%P
0xf9998552|比赛的胜负什么的，完全不重要。%K%P
0x8a070d0d|「这个争执，\n　我们，很久以前就已经进行过了」%K%P
0xdab37e08|她直率地伸出手，向着漂浮在空中的白色机体挥了挥。%K%P
0x369cd768|只是因为很快乐，所以我才会一直骑着自行车。%K%P
0xc15793b1|本来应该是这样的……%K%P
0x1f20a293|「已经，没事了」%K%P
0x610e45f6|起码5年前还只是一块什么都没有的空地而已。%K%P
0x3e8254c8|起风了。%K%P
0x4c9c8a8c|「……（摇头）」%K%P
0x05733a30|「嗯—，好像来客人了的样子」%K%P
0x327bf06f|那是那时候还没有什么人生经验的我，想都没想到的事。%K%P
0x2ee13c40|「轮胎的状态，好像不错嘛」%K%P
0xf68a6817|「这还真是厉害呢……。\n　竟然能做出这种东西」%K%P
